2023-10-20 00:55:26,381 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 00:55:26,477 INFO  SpringPersistenceUnitInfo:87 - [] No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-20 00:55:26,489 INFO  HikariDataSource:110 - [] HikariPool-1 - Starting...
2023-10-20 00:55:26,493 WARN  DriverDataSource:70 - [] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-10-20 00:55:26,608 INFO  HikariPool:565 - [] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@58aa5c94
2023-10-20 00:55:26,610 INFO  HikariDataSource:123 - [] HikariPool-1 - Start completed.
2023-10-20 00:55:26,659 INFO  DialectFactoryImpl:93 - [] HHH035001: Using dialect: org.hibernate.dialect.MySQLDialect, version: 5.7
2023-10-20 00:55:26,841 WARN  EntityBinder:779 - [] HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: lv.venta.models.users.AcademicPersonel
2023-10-20 00:55:26,849 WARN  EntityBinder:779 - [] HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: lv.venta.models.users.Student
2023-10-20 00:55:26,913 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 00:55:27,620 INFO  JtaPlatformInitiator:51 - [] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-20 00:55:27,859 INFO  AbstractEntityManagerFactoryBean:437 - [] Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 00:55:28,188 WARN  JpaBaseConfiguration$JpaWebConfiguration:231 - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-20 00:55:28,443 INFO  DefaultSecurityFilterChain:54 - [] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1043c493, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2b27d5d3, org.springframework.security.web.context.SecurityContextHolderFilter@6bf2ecbb, org.springframework.security.web.header.HeaderWriterFilter@2b9a7211, org.springframework.security.web.csrf.CsrfFilter@1235732d, org.springframework.security.web.authentication.logout.LogoutFilter@7d2ddbf3, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@326d39fd, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@25bd68ea, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@12115c28, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5955568, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@444fbd13, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@cc3fc5c, org.springframework.security.web.access.ExceptionTranslationFilter@4fbdee7a, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5b9c74a]
2023-10-20 00:55:28,445 WARN  WebSecurity:289 - [] You are asking Spring Security to ignore Ant [pattern='/h2-console/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-10-20 00:55:28,446 INFO  DefaultSecurityFilterChain:51 - [] Will not secure Ant [pattern='/h2-console/**']
2023-10-20 00:55:28,668 INFO  TomcatWebServer:220 - [] Tomcat started on port(s): 7777 (http) with context path ''
2023-10-20 00:55:28,674 INFO  StartupInfoLogger:57 - [] Started ProgInzCourseProject2023Application in 4.139 seconds (process running for 4.723)
2023-10-20 00:55:28,743 INFO  DirectJDKLog:173 - [] Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-10-20 00:55:28,743 INFO  FrameworkServlet:532 - [] Initializing Servlet 'dispatcherServlet'
2023-10-20 00:55:28,744 INFO  FrameworkServlet:554 - [] Completed initialization in 1 ms
2023-10-20 00:55:34,950 DEBUG StudentController:90 - [] Method: addNewApplication
2023-10-20 00:56:03,121 WARN  AbstractHandlerExceptionResolver:207 - [] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String lv.venta.controllers.StudentController.addNewThesisApplication(lv.venta.models.ThesisApplication,long,org.springframework.validation.BindingResult,org.springframework.ui.Model) throws java.lang.Exception: [Field error in object 'thesisApplication' on field 'student': rejected value [null]; codes [NotNull.thesisApplication.student,NotNull.student,NotNull.lv.venta.models.users.Student,NotNull]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [thesisApplication.student,student]; arguments []; default message [student]]; default message [must not be null]] ]
2023-10-20 00:56:42,576 DEBUG StudentController:90 - [] Method: addNewApplication
2023-10-20 00:56:44,630 DEBUG StudentController:55 - [] Method: showAwailableThesis
2023-10-20 00:56:46,496 DEBUG StudentController:73 - [] Method: showThesisInformation
2023-10-20 00:57:11,662 DEBUG StudentController:90 - [] Method: addNewApplication
2023-10-20 00:57:47,150 WARN  AbstractHandlerExceptionResolver:207 - [] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public java.lang.String lv.venta.controllers.StudentController.addNewThesisApplication(lv.venta.models.ThesisApplication,long,org.springframework.validation.BindingResult,org.springframework.ui.Model) throws java.lang.Exception: [Field error in object 'thesisApplication' on field 'student': rejected value [null]; codes [NotNull.thesisApplication.student,NotNull.student,NotNull.lv.venta.models.users.Student,NotNull]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [thesisApplication.student,student]; arguments []; default message [student]]; default message [must not be null]] ]
2023-10-20 01:02:58,962 INFO  SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:159 - [] Application shutdown requested.
2023-10-20 01:02:58,972 INFO  DirectJDKLog:173 - [] Stopping service [Tomcat]
2023-10-20 01:02:58,973 INFO  DirectJDKLog:173 - [] Destroying Spring FrameworkServlet 'dispatcherServlet'
2023-10-20 01:02:58,979 INFO  AbstractEntityManagerFactoryBean:650 - [] Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 01:02:58,981 INFO  HikariDataSource:350 - [] HikariPool-1 - Shutdown initiated...
2023-10-20 01:02:58,988 INFO  HikariDataSource:352 - [] HikariPool-1 - Shutdown completed.
2023-10-20 01:03:00,619 INFO  StartupInfoLogger:51 - [] Starting ProgInzCourseProject2023Application using Java 17.0.6 with PID 8128 (F:\OneDrive\Dokumenti\Venstpils_Augstskola\Programaturas_inzenierija\Praktiska\Prog_Inz_Course_Project_2023\target\classes started by User in F:\OneDrive\Dokumenti\Venstpils_Augstskola\Programaturas_inzenierija\Praktiska\Prog_Inz_Course_Project_2023)
2023-10-20 01:03:00,622 INFO  SpringApplication:633 - [] No active profile set, falling back to 1 default profile: "default"
2023-10-20 01:03:01,071 INFO  RepositoryConfigurationDelegate:138 - [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-20 01:03:01,133 INFO  RepositoryConfigurationDelegate:208 - [] Finished Spring Data repository scanning in 55 ms. Found 13 JPA repository interfaces.
2023-10-20 01:03:01,502 INFO  TomcatWebServer:108 - [] Tomcat initialized with port(s): 7777 (http)
2023-10-20 01:03:01,509 INFO  DirectJDKLog:173 - [] Starting service [Tomcat]
2023-10-20 01:03:01,509 INFO  DirectJDKLog:173 - [] Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-10-20 01:03:01,580 INFO  DirectJDKLog:173 - [] Initializing Spring embedded WebApplicationContext
2023-10-20 01:03:01,581 INFO  ServletWebServerApplicationContext:291 - [] Root WebApplicationContext: initialization completed in 929 ms
2023-10-20 01:03:01,684 INFO  LogHelper:31 - [] HHH000204: Processing PersistenceUnitInfo [name: default]
2023-10-20 01:03:01,722 INFO  Version:44 - [] HHH000412: Hibernate ORM core version 6.2.2.Final
2023-10-20 01:03:01,724 INFO  Environment:191 - [] HHH000406: Using bytecode reflection optimizer
2023-10-20 01:03:01,818 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 01:03:01,913 INFO  SpringPersistenceUnitInfo:87 - [] No LoadTimeWeaver setup: ignoring JPA class transformer
2023-10-20 01:03:01,925 INFO  HikariDataSource:110 - [] HikariPool-1 - Starting...
2023-10-20 01:03:01,928 WARN  DriverDataSource:70 - [] Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-10-20 01:03:02,023 INFO  HikariPool:565 - [] HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@270f28cf
2023-10-20 01:03:02,025 INFO  HikariDataSource:123 - [] HikariPool-1 - Start completed.
2023-10-20 01:03:02,061 INFO  DialectFactoryImpl:93 - [] HHH035001: Using dialect: org.hibernate.dialect.MySQLDialect, version: 5.7
2023-10-20 01:03:02,206 WARN  EntityBinder:779 - [] HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: lv.venta.models.users.AcademicPersonel
2023-10-20 01:03:02,211 WARN  EntityBinder:779 - [] HHH000137: Root entity should not hold a PrimaryKeyJoinColum(s), will be ignored: lv.venta.models.users.Student
2023-10-20 01:03:02,269 INFO  BytecodeProviderInitiator:53 - [] HHH000021: Bytecode provider name : bytebuddy
2023-10-20 01:03:02,935 INFO  JtaPlatformInitiator:51 - [] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-10-20 01:03:03,165 INFO  AbstractEntityManagerFactoryBean:437 - [] Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-10-20 01:03:03,484 WARN  JpaBaseConfiguration$JpaWebConfiguration:231 - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-10-20 01:03:03,710 INFO  DefaultSecurityFilterChain:54 - [] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@797c67c, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@31ce271c, org.springframework.security.web.context.SecurityContextHolderFilter@67201eeb, org.springframework.security.web.header.HeaderWriterFilter@1f8ac459, org.springframework.security.web.csrf.CsrfFilter@506d7fed, org.springframework.security.web.authentication.logout.LogoutFilter@c2ddfeb, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6fe55fcf, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@689fe2a3, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@b1d7b09, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4d25943d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2eea0775, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@64faf3d, org.springframework.security.web.access.ExceptionTranslationFilter@339b45f8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4f70b659]
2023-10-20 01:03:03,716 WARN  WebSecurity:289 - [] You are asking Spring Security to ignore Ant [pattern='/h2-console/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-10-20 01:03:03,716 INFO  DefaultSecurityFilterChain:51 - [] Will not secure Ant [pattern='/h2-console/**']
2023-10-20 01:03:03,925 INFO  TomcatWebServer:220 - [] Tomcat started on port(s): 7777 (http) with context path ''
2023-10-20 01:03:03,932 INFO  StartupInfoLogger:57 - [] Started ProgInzCourseProject2023Application in 3.585 seconds (process running for 4.094)
2023-10-20 01:03:06,165 INFO  DirectJDKLog:173 - [] Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-10-20 01:03:06,166 INFO  FrameworkServlet:532 - [] Initializing Servlet 'dispatcherServlet'
2023-10-20 01:03:06,167 INFO  FrameworkServlet:554 - [] Completed initialization in 1 ms
2023-10-20 01:03:14,186 DEBUG StudentController:90 - [] Method: addNewApplication
